Province,Regency/City,Sub-District,Geocoder,Location,Latitude,Longitude
Bali,Kabupaten Buleleng,Banjar,"Banjar, Bali, Indonesia","Banjar, Bali, Indonesia",-8.2050113,114.9671937
Bali,Kabupaten Buleleng,Banyuatis,"Banyuatis, Bali, Indonesia","Banyuatis, Bali, Indonesia",-8.2629358,115.0315254
Bali,Kabupaten Buleleng,Dencarik,"Dencarik, Bali, Indonesia","Dencarik, Bali, Indonesia",-8.1857459,114.9825947
Bali,Kabupaten Buleleng,Gesing,"Gesing, Bali, Indonesia","Gesing, Bali, 81152 BALI, Indonesia",-8.2784338,115.0547504
Bali,Kabupaten Buleleng,Kaliasem,"Kaliasem, Bali, Indonesia","Kaliasem, Bali, 00362, Indonesia",-8.1709929,115.0248204
Bali,Kabupaten Buleleng,Temukus,"Temukus, Bali, Indonesia","Temukus, Bali, 00362, Indonesia",-8.1818071,115.0010287
Bali,Kabupaten Buleleng,Tirtasari,"Tirtasari, Bali, Indonesia","Tirtasari, Bali, 81152, Indonesia",-8.2530191,115.0163126
Bali,Kabupaten Buleleng,Alasangker,"Alasangker, Bali, Indonesia","Alasangker, Bali, Indonesia",-8.1463602,115.1502644
Bali,Kabupaten Buleleng,Astina,"Astina, Bali, Indonesia","Astina, Bali, 81111, Indonesia",-8.1197942,115.0952124
Bali,Kabupaten Buleleng,Banjar Bali,"Banjar Bali, Bali, Indonesia","Banjar Bali, Bali, 81151, Indonesia",-8.1118271,115.0909707
Bali,Kabupaten Buleleng,Banjar Jawa,"Banjar Jawa, Bali, Indonesia","Banjar Jawa, Bali, 81111, Indonesia",-8.1196252,115.092039
Bali,Kabupaten Buleleng,Banjar Tegal,"Banjar Tegal, Bali, Indonesia","Banjar Tegal, Bali, 81111, Indonesia",-8.1314321,115.0916143
Bali,Kabupaten Buleleng,Banyuasri,"Banyuasri, Bali, Indonesia","Banyuasri, Bali, 81116, Indonesia",-8.1191556,115.0763123
Bali,Kabupaten Buleleng,Banyuning,"Banyuning, Bali, Indonesia","Banyuning, Bali, 81111, Indonesia",-8.1171107,115.1079869
Bali,Kabupaten Buleleng,Beratan,"Beratan, Bali, Indonesia","Beratan, Bali, 81111, Indonesia",-8.1331402,115.1035897
Bali,Kabupaten Buleleng,Kaliuntu,"Kaliuntu, Bali, Indonesia","Kaliuntu, Bali, 81116, Indonesia",-8.1160273,115.0819292
Bali,Kabupaten Buleleng,Kampung Baru,"Kampung Baru, Bali, Indonesia","Kampung Baru, Bali, 81114, Indonesia",-8.1040689,115.0950501
